Series Name,Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Electricity production from natural gas sources (% of total),United States,13.1123803284579,13.7695181661229,14.6786282784826,15.0229061156463,15.755293556572,17.1904936685152,17.6940238659904,16.5289769841976,17.6359183043721,18.3380117580999,19.713960969925,21.1659109857617,20.9574071259826,22.8015830431448,23.3758416558289,24.1585897585537,29.6086711790814,27.0217680238967,26.8879614443192,31.9421612232398
Electricity production from natural gas sources (% of total),Canada,3.20563280965006,3.62674337517434,4.60981858776567,4.7348193697156,5.52711708795963,6.10074943199159,5.62830403986972,5.60604672779887,5.7276220482942,6.40168631672586,7.31073102400964,6.73166712004721,6.83008739194703,7.38954637534959,8.61281497575581,9.69383425372689,10.2203562077182,9.80285458740765,9.60351249071879,10.0159525300414
Electricity production from natural gas sources (% of total),India,7.22838808119522,8.50028983790233,9.96027799448537,10.8120636898327,9.82362275491146,9.50981942326296,10.300539555972,11.1859036901713,11.1956151469829,10.5451501838872,10.2566090795364,11.5717923218989,10.2437069387226,12.657990498222,11.5669950256071,10.627191643649,7.61347011572959,5.24143710241891,4.63653355306791,4.92319617296841
Electricity production from natural gas sources (% of total),China,0.261793675479523,0.711073626977308,0.521798715203426,0.388168013116901,0.42581973803198,0.333164747739456,0.253541970445494,0.269788643756002,0.338551995868395,0.485589486119787,0.831101964651212,1.03318615755426,0.996947091083977,1.53935561219587,1.85988100649861,2.0390613027675,1.98157092497651,1.96121927679729,2.02100518113681,2.48703063811759
Electricity production from natural gas sources (% of total),Australia,7.02016640812297,6.25742747769703,6.63217430096555,7.85799525603186,7.74072732817444,7.70115711323657,13.9547361662078,13.3172549481835,13.548307940389,10.4240476117488,9.76508956846434,13.1077171278176,14.3804536085867,16.1518773050646,17.6468725633384,19.2972229989721,19.3430715070806,20.4526061509248,21.9097412431927,20.7954779685741
Electricity production from natural gas sources (% of total),"Korea, Rep.",13.3511018977814,14.3273274084479,12.5686701933179,12.5927435100766,10.2108648787284,10.8738196980627,12.6663108998072,12.3814435693244,16.2021428649362,16.0242759246559,18.0615009819276,19.3376457191158,18.3206588337058,15.5593832747368,20.7731549893501,22.251001340248,21.0829950935614,26.9264590781404,23.8992719825012,22.3689337358392
Electricity production from natural gas sources (% of total),Japan,20.7284702575984,21.1991025778815,21.8344589078569,23.0256671002104,23.3107126970881,23.6256516407441,23.5341313230026,24.6649336712983,23.0967023502129,21.5877949112997,23.9137531261528,25.5821292792148,26.505747272577,28.2737518591423,27.9469398209223,36.1084817194453,38.7185888748401,38.4681449462751,41.5149356445458,39.5872171982853
Electricity production from natural gas sources (% of total),Singapore,27.207468879668,24.3103576474087,26.3788546255507,20.199864498645,18.4999210484762,28.0999728006286,43.5004615739672,62.0995131891769,70.1991252614708,74.3987648182556,77.8003143856802,79.2016142756424,80.3988781551885,81.7831056322648,77.2006789973766,77.9694901994872,84.2988226778225,91.7905313848527,95.2652895909275,95.0292571655261
Electricity production from natural gas sources (% of total),Thailand,42.64709156074,47.9351253942033,54.677297561409,59.1110518775197,64.2226783500214,71.1062292520992,72.6445469806353,73.5149551644256,71.6226427099987,72.3322011845957,68.6958527338513,68.9394467770509,70.7202257403714,72.3782632721,74.816639711137,68.3154797392157,70.1584675872651,68.6586432104778,68.709722286615,71.4367686768677
Electricity production from natural gas sources (% of total),Vietnam,6.47426817752597,10.3125653355635,15.8474732571007,15.2638057642515,16.399984940326,14.4504704652378,23.2819309420047,29.4294441050703,42.270986171525,41.5964663784106,40.5038599507381,39.7236150907354,42.3211074172979,43.7126540426811,46.5190773737395,37.3078253516796,33.5277910061909,33.4863339037536,33.4066563966611,33.2104669141392
