Series Name,Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Electricity production from nuclear sources (% of total),United States,19.5881732362997,18.1460533410308,18.7704888731882,19.9247064387534,19.8147239675252,20.6470146771244,19.9811047042283,19.4299925838217,19.607601589169,18.9915076224786,19.0922315755445,19.3489927530953,19.2909937416244,19.9311229787331,19.2664460909667,18.9848461910931,18.7579199060429,19.1738311600765,19.2302385002996,19.3237776259423
Electricity production from nuclear sources (% of total),Canada,16.1917096184693,14.3877266387727,12.7323292661431,12.6939519298033,12.0210503371885,13.0040014920818,12.5634192674804,12.7034206214316,15.0678902753119,14.8326253295602,16.0310789935328,14.8712001539903,15.1962599665119,14.777616481723,15.0131819506637,14.7078051678238,14.9001572289999,15.5490082601147,16.1190749922158,15.5465605152518
Electricity production from nuclear sources (% of total),Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from nuclear sources (% of total),"Korea, Rep.",36.48675995163,34.7056016279928,41.5094252299034,43.7460737873309,37.7657472810076,36.272914597735,36.113267273896,37.7842076278224,35.6548612702257,37.8419280487994,36.9774032366321,33.5607705943814,34.0044510920493,32.7161505149709,29.9155657737388,29.7513907236378,28.3136353790954,25.8015099713511,28.6530027515911,29.998943968421
Electricity production from nuclear sources (% of total),Japan,29.654576195677,30.6283682117578,31.7327991429529,29.6472751822897,29.5975891744448,29.8506989097791,27.027541909112,22.2032785065404,25.446554865029,26.9846329574584,26.8427603741387,22.8743838840987,23.4420790986722,26.1847732384597,25.2819139978107,9.47148762138249,1.5084722022426,0.87800182150222,0,0.911553166046214
Electricity production from nuclear sources (% of total),Mexico,4.99584630701816,6.24264894652314,5.08217044058276,5.22270377525978,3.99708277622463,4.07779875507038,4.466572877954,4.44591202157338,3.86980549955174,4.30876347859376,4.21486256894826,3.92842063994692,3.64034680578505,3.92188351994741,2.13365174187133,3.332441511341,2.85455752730871,3.96870774839738,3.20966115636692,3.72085698307503
Electricity production from nuclear sources (% of total),France,78.0383376541755,78.9426618094715,76.4864982080408,75.6362268987044,77.5736942808455,77.2211279952172,78.8902335494825,78.5515330255884,78.81714757961,79.0478107876263,79.0596594501187,77.9992266240009,77.2583429734776,77.2120912895755,75.9405265069956,79.5116603010559,75.9627798342556,74.7044863069252,78.2355882895947,77.6278008284028
Electricity production from nuclear sources (% of total),Germany,29.0573116321131,31.0811279335634,29.2634532699706,30.7674488050747,29.6351821468322,29.4396153198393,28.3256064912347,27.3457885398184,27.3381824727338,26.4785644689834,26.435995018428,22.1780346966763,23.4078943220152,22.8711485068631,22.4321438660162,17.7809653046302,15.9463090691627,15.3710037996982,15.6171515488682,14.3199259868293
Electricity production from nuclear sources (% of total),Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from nuclear sources (% of total),Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from nuclear sources (% of total),Spain,32.4921408588816,29.2354623652503,30.5043641929346,28.5915554540729,28.1575766903101,27.3346290980705,26.2657502386242,24.0465891734969,22.9913392999147,19.8790789269118,20.3415634240245,18.2557588648253,18.9637209063021,18.0769454789649,20.7796996513811,19.7981017586345,20.9122888188826,20.1552701238253,20.8420470705476,20.6186643243866
Electricity production from nuclear sources (% of total),United Kingdom,27.1020546043233,28.1075662981843,27.552419276668,26.0459958932238,22.7213355592654,23.5621181688844,22.8416906096023,22.4258086703214,20.4455655569697,20.6405243964737,19.1777444526345,16.0388425609014,13.6387495777356,18.521407453273,16.4183915577656,18.9561217170982,19.5575420360067,19.8628306509918,19.0126247789247,20.9138531793695
Electricity production from nuclear sources (% of total),Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from nuclear sources (% of total),Belgium,57.6752109451942,60.8879927049486,56.2473347547974,58.7973514382362,58.179599627898,58.9546923096492,58.5132012997443,56.6998958844437,56.0881059357699,55.5309244070051,55.3006591738986,55.0989397678457,54.5182632832035,52.5822328129524,51.0950305329681,54.186981823084,49.3684223422894,51.9010758969865,47.1357444547006,37.5323517570599
Electricity production from nuclear sources (% of total),Central Europe and the Baltics,18.0750934702257,18.6446979582438,18.8887222019817,18.5466662769285,19.1532939139309,19.9996346931879,21.7864385096605,21.4375118028625,21.2833751674448,20.7779875956802,20.4109892194366,19.7194584554492,21.325406790087,22.1216144099006,19.3525988907537,19.6500319964751,20.276552141915,20.0311707124642,20.549931382455,13.653416742317
Electricity production from nuclear sources (% of total),Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from nuclear sources (% of total),Czech Republic,20.1338075615374,19.4559073142626,20.3918049022035,20.8185913122087,18.6391628149388,19.8682544386669,24.6568853214027,31.2403400309119,31.4178302900107,30.1814941841305,31.1353910153728,29.8208832778816,31.8758628969326,33.3300666405331,32.8183608402101,32.5931133032175,34.9810236829052,35.7466747279323,35.6362226191595,32.488864142539
Electricity production from nuclear sources (% of total),Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from nuclear sources (% of total),Early-demographic dividend,2.06396877066285,2.21256188372913,2.157808541163,2.1027039764931,2.10732290040412,2.12707886554246,2.0586977111797,1.99811365524281,1.89943062175028,1.75012165549461,1.68563917217981,1.5841465002257,1.45758510055919,1.60358610419662,1.56926664439427,1.82991041297119,1.71388968790339,1.8980961666594,1.78402603348655,0.264383022428893
Electricity production from nuclear sources (% of total),East Asia & Pacific,14.2189091639639,14.1920715793491,14.7117446729278,14.0820710496013,13.5013113690376,12.8455045225791,11.8749001698926,10.4442566621812,10.6458984438339,10.6771359909147,9.9000622416161,8.43509297002717,8.3487396498222,8.341544702258,7.73006199606231,5.03498948026547,3.81656886734762,3.55903660837882,3.78600376794627,1.94661360680194
Electricity production from nuclear sources (% of total),Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity production from nuclear sources (% of total),Euro area,36.9365519521637,37.0684737119602,35.7381475897781,35.8885781544349,35.8575530887109,35.5892353746016,35.6645028301804,34.7337998391196,34.3073028396508,33.7891869790303,33.2746180281774,31.3690984711518,31.569902867001,31.0679126877902,30.66085386228,30.5313703488211,29.2165841133882,29.0527878168844,30.099439847197,29.0481784170156
Electricity production from nuclear sources (% of total),Europe & Central Asia,26.0428436511422,26.2242806874355,25.6031743893704,25.769671415628,25.3371454356137,25.7063308249505,25.907752680618,25.6048394540903,25.2754666193407,24.727069695198,24.307960698133,23.0586416401632,22.873026844614,23.0223587783094,22.6574604041449,22.6477403813689,22.0007827198365,21.8186747890582,22.3703401934369,16.0801853005586
Electricity production from nuclear sources (% of total),Europe & Central Asia (excluding high income),14.575127375313,14.6103128191358,14.1288921118988,14.826298050043,15.4634981608676,15.6765781885467,16.0797619768346,16.0574797368796,15.6144586539382,15.7598671068913,15.6097340014077,15.3685811619137,15.1193536335807,15.4039501702398,15.2650434215857,15.1348853981204,15.0696590794634,14.3354665998288,15.0799587485666,0
Electricity production from nuclear sources (% of total),Europe & Central Asia (IDA & IBRD countries),12.7684277323116,13.0713276371784,12.6570475134924,13.2946310315318,13.89090382459,14.0638416855268,14.4334931484166,14.3649623546267,14.0142821741846,14.141056405601,14.0131376037354,13.9555281516064,13.9386935997951,14.2438174524823,14.1002053572474,13.9907607016,13.9717540548608,13.2919278506968,13.95630705611,0
Electricity production from nuclear sources (% of total),European Union,33.6122126243322,33.7647189424081,32.850372371101,33.1082921878964,32.6797236590437,32.8305354428192,33.1070059254096,32.3202676901711,32.2630505543812,31.6403446420294,31.0723706722403,29.4936187536687,29.7848738737617,29.2704978325102,28.9023617221203,28.842524342305,27.9511574813558,27.9701766351956,28.7723814599272,26.4802653371912
