Series Name,Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Electricity production from oil, gas and coal sources (% of total)",United States,68.4839468411314,70.5287537239054,71.2801984174547,70.6433590335493,71.5934508809864,72.1988282370336,70.9873760648162,71.2893520499555,71.385701336522,72.104860119277,71.3259217344704,71.9668864905994,71.3921777212881,69.4503642511695,70.2777650829754,68.4178582200717,68.8628396369464,67.8246484698098,67.4619532149337,67.0787014713357
"Electricity production from oil, gas and coal sources (% of total)",Canada,20.1679440209869,22.5932705718271,26.2051566013649,25.4725405694841,26.7737897872509,28.9541863067585,27.5411788581371,28.3718547618321,26.4767906112209,25.1269894476281,24.4130141648993,24.8212328451141,23.3195012866652,22.0420080538674,23.0800058292043,22.5439321601328,21.4246109721025,20.7693406188697,20.7631254341213,21.067179533053
"Electricity production from oil, gas and coal sources (% of total)",India,82.1852195444563,81.8517045430504,80.9322462883448,82.3143448705499,83.4421648340846,83.481844565611,84.768764066293,83.7936380384028,83.0202444184207,80.9492270029176,80.0158700619294,80.0515564686612,81.7005852502785,82.2750849774665,81.2358589200095,79.6323250221491,81.2873703640714,79.7205093068402,80.8961553148301,81.8920986490278
"Electricity production from oil, gas and coal sources (% of total)",China,81.1204917425757,81.2182186976181,80.7311349036403,82.1128985819327,82.1259712422312,79.8616967903689,80.8623570577041,82.6946416468883,81.4863340264724,81.7018507750155,82.4936129470326,82.843478711313,80.2899470319582,80.2483727723448,79.4010250633517,81.1740028026333,77.8598929691707,77.4244665797368,74.8228873696222,72.9620759739898
"Electricity production from oil, gas and coal sources (% of total)",Australia,90.7702721759977,90.4123242734078,91.5659499843605,91.4559464118216,91.6183814279724,91.901545047154,92.1390811775985,91.5593011342515,91.8133498091695,91.1962933605434,90.7006922273737,91.3519275328321,91.884742443628,92.502065740946,91.3881203715798,89.5733477218037,89.4073466396929,86.7358916116833,85.0932877904167,86.3621589053259
"Electricity production from oil, gas and coal sources (% of total)","Korea, Rep.",62.1164334542583,63.9905634043779,56.4801058920993,54.4427749197779,60.8045722049313,62.3425859732093,62.8297413008939,60.7058460157755,62.557144883419,60.648303314994,61.70905113481,65.3305314565455,64.9742305197146,66.1874883766239,68.7301446696113,68.6210828511709,70.1502067108026,72.3371463735218,69.4956271319335,67.724397606814
"Electricity production from oil, gas and coal sources (% of total)",Japan,54.0132297483875,54.3285839308471,54.22360183211,57.1614777193165,58.0224833929484,59.0198464619617,61.3733677588116,65.1558770745065,62.1600948518031,61.3793591974251,61.184129626861,64.5405086722242,64.4951418132811,63.0592988003209,61.9706437533331,73.8295018675662,81.1471732826566,81.5973536309712,82.7927298114346,80.2593729534245
"Electricity production from oil, gas and coal sources (% of total)",Singapore,97.9668049792531,98.1783032195702,98.273127753304,98.340108401084,98.4525501342176,97.141043851431,97.270943918763,97.1980074719801,97.397517046535,97.498233585429,97.5812585568683,97.6320715727032,97.4854375913896,97.4107597854838,97.4008509512577,97.3619018644878,97.3111068531647,97.135650107361,97.0615633859862,96.9235346623029
"Electricity production from oil, gas and coal sources (% of total)",Thailand,90.8706395672403,91.90676420741,93.8946386532226,95.1110074523262,93.1889931962866,93.3636008592072,92.5155715373396,92.7750185924451,94.176270808975,94.4552448240127,93.0828444162546,93.0861080500495,93.4021136027566,93.1028208687683,94.3901154699665,91.9520998006295,91.6091292673571,91.7220699812812,91.4854652510547,91.4615211521152
"Electricity production from oil, gas and coal sources (% of total)",Vietnam,29.1312559017941,39.0706669454317,48.8426779786057,41.534020968632,45.2166710590716,40.5057501306848,49.1619175326852,53.6078191814294,61.4404120409444,68.3260026837632,66.1564147917941,65.5056112702961,64.5185023707014,63.8677487225729,70.8597199245545,60.539818587132,54.9807810055106,58.3379979848705,57.0185934869057,63.2679423027994
"Electricity production from oil, gas and coal sources (% of total)",Cuba,70.2780296161982,77.9725717517319,75.1342945999434,73.2266077836047,65.7597126130921,64.9388848944376,41.6650742085483,39.2662871600253,41.384162722272,49.4655194889845,58.898536644605,55.078302315025,58.4818145822727,52.0299988722228,52.5722825774559,56.036036036036,56.4358584762318,58.7251828631139,60.3635237013322,60.5086750788644
"Electricity production from oil, gas and coal sources (% of total)",Mexico,70.3394613516307,73.8000991086195,77.331270844304,73.8697718134823,76.198857420688,78.8165691534105,80.4775892329336,83.4283730637507,81.6817701603229,80.4939226695591,80.450888666496,81.9811363430743,78.8166273694373,83.1139777557011,81.2460758446234,81.7463856436477,83.2707305323733,82.683989963878,79.2212832011038,80.8760100019927
"Electricity production from oil, gas and coal sources (% of total)",Argentina,55.8964497890538,49.6016487316385,53.5399664919202,63.8746318366535,59.8931503767855,50.336791877046,49.5435330894107,53.8270129305661,60.5091598861878,59.9596174081201,55.6756402698631,63.438998277708,67.6285319561857,64.3788088813064,65.6897886846076,62.7764270001158,66.0237268390512,64.0525460532938,64.2570688132501,66.935022110005
"Electricity production from oil, gas and coal sources (% of total)",Brazil,5.60564134606802,5.99320739523738,6.06188694257618,8.6655552767122,8.66785130836032,11.2332119765729,10.1394100170393,9.04597092268464,10.8333139761468,10.2304277813479,9.80881725199541,8.74475173369696,12.6132935406755,8.0993990830707,12.3855781442379,9.82967784157049,14.5983525869307,20.5461078347598,24.253239222485,23.4329117754259
"Electricity production from oil, gas and coal sources (% of total)",France,8.42132139209679,7.68301811467638,10.6330800802735,9.73933162841471,9.25644264402523,8.25346698796595,9.23486805267056,9.92512965179233,9.63795255930087,10.8014565571331,9.71090490172663,9.99482050936388,9.43491759874262,9.28008924684781,9.85246816768123,8.53525050550438,8.70613318476695,7.76640312581548,4.82454646646245,6.05578763926501
