Series Name,Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Electricity production from renewable sources, excluding hydroelectric (kWh)",United States,71943000000,69953000000,69464000000,73395000000,77160000000,72174000000,81103000000,81824000000,86869000000,93760000000,103340000000,112196000000,134308000000,153106000000,178411000000,207229000000,234311000000,270946000000,298023000000,317421000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Canada,5906000000,6947000000,7380000000,8457000000,8484000000,8946000000,9458000000,9887000000,9764000000,10577000000,11016000000,11445000000,10974000000,14513000000,19398000000,20986000000,22329000000,29337000000,37211000000,42037000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)",India,924000000,1039000000,1129000000,2421000000,2964000000,3983000000,5178000000,6862000000,8547000000,11025000000,15353000000,19258000000,23259000000,30514000000,34065000000,42495000000,52150000000,59079000000,66931000000,74143000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)",China,1640000000,2939000000,2864000000,3031000000,3174000000,3334000000,3467000000,3640000000,3936000000,7434000000,11096000000,15647000000,29803000000,48011000000,70255000000,100573000000,132470000000,193807000000,229840000000,283851000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Australia,954000000,995000000,1065000000,1195000000,1230000000,1599000000,1997000000,2345000000,2573000000,4794000000,5716000000,6674000000,7817000000,6800000000,8256000000,9718000000,12573000000,14939000000,18622000000,21044000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Korea, Rep.",406000000,82000000,64000000,98000000,101000000,107000000,201000000,221000000,301000000,379000000,550000000,926000000,1306000000,1874000000,2504000000,2881000000,3124000000,4494000000,5801000000,8260000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Japan,14563000000,15040000000,13757000000,14137000000,13953000000,13811000000,14537000000,15815000000,16832000000,18477000000,19287000000,20590000000,20334000000,20814000000,37857000000,39959000000,42796000000,51223000000,66421000000,80292000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Singapore,245000000,245000000,245000000,245000000,245000000,473000000,473000000,495000000,479000000,478000000,477000000,487000000,525000000,535000000,592000000,611000000,638000000,742000000,821000000,918000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Thailand,862000000,345000000,321000000,868000000,511000000,494000000,688000000,1153000000,1282000000,1532000000,1472000000,1799000000,2614000000,3087000000,3412000000,4391000000,5246000000,8359000000,9152000000,10439000000
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Vietnam,0,0,0,0,0,0,0,0,0,50000000,65000000,79000000,56000000,72000000,105000000,143000000,144000000,145000000,146000000,181000000
