Series Name,Series Code,Country Name,Country Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,United States,USA,52.7220311762238,53.8095484475331,52.7351265762896,52.1167181858501,52.8951522460279,51.6334269469013,50.657299487706,51.3811676423779,50.3966895527569,50.4570863552959,49.7728777773905,48.9939094547418,49.1044398086107,45.437731595683,45.7976057577193,43.3457640868712,38.4798556926388,39.9431412367387,39.6507326894421,34.2327337278988
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Canada,CAN,15.7073564089093,17.330369595537,19.0346639983335,18.6406308025806,19.4169049993725,19.9889789413001,19.601668779256,19.1050001526609,16.8797979545398,16.2098484506643,15.2498494488519,16.1028044370843,14.8664432015649,12.9186657809053,13.1721801224133,11.8128871860473,10.1160604475608,9.79939721456005,9.91712773346746,9.83644929480872
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,India,IND,70.4767837916534,68.9321271563305,66.7956986685883,66.9578760283636,68.4994242462541,69.4170572843612,69.8934647224743,67.8314232288576,67.6916801536862,66.8596364733894,66.6882489170104,65.4820578389267,68.4446959114993,66.9680214367787,67.1782980878401,66.759978260384,71.636055060821,72.5227381120314,74.4921858694795,75.3093989605236
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,China,CHN,76.1976042360957,76.3592889439804,75.6361456102784,77.6711854810807,78.2136371481806,76.2524570393714,77.5435809266796,79.5555683486371,78.1736980497408,79.196117843634,80.3394960281986,80.9542353410791,78.7505137453006,78.3826698942494,77.1871941416238,78.8771230435926,75.6589120538476,75.2790685739732,72.6339078091231,70.3094269525225
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Australia,AUS,82.1678183613031,82.9637621235604,84.000020510822,82.7488496122813,83.0275797659437,83.288966178405,77.1086032949538,77.4890518890591,77.6563999421593,79.5280866400697,79.6216167440821,77.0535725309595,75.8348315115212,74.8999375239324,71.3276416875453,67.9882791730831,68.554964397789,63.7153925350832,61.1643250733091,62.8716168006469
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,"Korea, Rep.",KOR,28.3309888699687,31.197943398435,37.1742360079419,35.8796414200581,38.608305663961,39.926310988332,40.5810723945131,39.1099999708617,38.8047854407384,38.360653201813,38.012777487757,40.080299597328,43.1956408130902,46.2419964753496,44.1449675671105,43.1721382243733,45.0802828971531,41.4288396719782,42.4096756346796,43.0762564044674
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Japan,JPN,17.3724593181803,18.1552371374614,18.2411819916988,19.9133287076183,21.4842127320116,23.3847802106528,24.6199260505556,26.3775463005791,26.4586798229097,27.2263617165398,26.5865640229904,27.3459656058852,27.230002606411,27.172727774767,27.1551421674573,27.099953182867,29.7220792101697,32.925870522337,32.7419341069205,33.1527356254335
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Singapore,SGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127738391773648,0.644166023890429,1.09761036857027,1.19607259744124
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Thailand,THA,19.7101578326395,20.5436251689443,18.4826544663084,18.1965592687613,18.5179782656261,19.3985549697325,17.2795905075541,16.5571065881367,16.3886834172453,15.5238015991286,18.2417724985945,21.4593591764427,21.5511510859686,20.2393627774708,18.8356464939005,22.3147489278228,19.9960443037975,22.0793700159022,21.7783624646483,19.4543204320432
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Vietnam,VNM,14.0226628895184,17.3792598787372,16.045739579491,12.3731907126788,11.8030194646286,10.5135912179822,13.6272209185384,17.6835675015272,15.5229500746608,22.6908453854182,23.3316251467112,21.8182903533906,20.0596762766363,18.0090171325519,20.7475000790281,21.5514259358905,21.1366419484319,24.5126105522414,23.2450829362663,29.5714462791047
